Pesticide_Name
Alachlor
Aldicarb
Aldrin
Benzene Hexachloride
Benomyl
Calcium Cyanide
Carbaryl
Chlorbenzilate
Chlordane
Chlorofenvinphos
Copper Acetoarsenite
Diazinon
Dibromochloropropane
DBCP
Dichlorvos
Dieldrin
Endosulfan
Endrin
Ethyl Mercury Chloride
Ethyl Parathion
Ethylene Dibromide
EDB
Fenarimol
Fenthion
Heptachlor
Lindane
Gamma-HCH
Linuron
Maleic Hydrazide
Menazon
Methoxy Ethyl Mercury Chloride
Methyl Parathion
Metoxuron
Nitrofen
Paraquat Dimethyl Sulphate
Pentachloro Nitrobenzene
PCNB
Pentachlorophenol
Phenyl Mercury Acetate
Phorate
Phosphamidon
Sodium Cyanide
Sodium Methane Arsonate
Tetradifon
Thiometon
Toxaphene
Camphechlor
Triazophos
Tridemorph
Trichloro acetic acid
TCA
Trichlorfon
Nicotin Sulfate
Dalapon
Ferbam
Formothion
Nickel Chloride
Paradichlorobenzene
PDCB
Simazine
Sirmate
Warfarin
Ammonium Sulphamate
Azinphos Ethyl
Azinphos Methyl
Binapacryl
Calcium Arsenate
Carbophenothion
Chinomethionate
Morestan
Dicrotophos
EPN
Fentin Acetate
Fentin Hydroxide
Lead Arsenate
Leptophos
Phosvel
Mephosfolan
Mevinphos
Phosdrin
Thiodemeton
Disulfoton
Vamidothion
